Date_of_visit,P.E.I.,N.S.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
2019-06-03,67,891,10667,19313,956,966,7171,4965,98,45094
2019-06-04,69,837,10118,17758,929,910,6587,4649,111,41968
2019-06-05,75,826,9966,17337,829,961,6495,4630,111,41230
2019-06-06,66,755,9814,17601,921,920,6330,4579,110,41096
2019-06-07,60,740,9910,17183,910,926,6051,4433,108,40321
2019-06-08,75,780,8906,16814,849,955,6102,4382,97,38960
2019-06-09,68,868,9636,18089,963,859,6302,4636,104,41525
2019-06-10,79,884,11377,19225,965,931,6848,4836,138,45283
2019-06-11,65,868,10293,18193,924,866,6521,4649,122,42501
2019-06-12,65,840,9976,18231,854,936,6255,4604,142,41903
2019-06-13,49,822,10027,17418,869,865,6400,4566,107,41123
2019-06-14,67,813,9963,17727,844,926,6428,4614,136,41518
2019-06-15,54,761,8650,16707,870,889,6352,4490,121,38894
2019-06-16,56,820,8959,17012,896,937,6411,4791,111,39993
2019-06-17,61,885,10957,19710,916,924,7004,5081,148,45686
2019-06-18,71,817,9939,18345,852,848,6561,4673,125,42231
2019-06-19,56,828,10038,18182,845,865,6114,4558,123,41609
2019-06-20,59,827,9677,17401,842,869,5937,4479,126,40217
2019-06-21,63,741,9911,17613,831,853,6151,4415,123,40701
2019-06-22,68,719,9289,16502,813,905,6012,4366,135,38809
2019-06-23,63,849,9731,17366,874,938,6387,4652,129,40989
2019-06-24,69,896,10136,19626,953,961,6778,4734,139,44292
2019-06-25,84,791,10872,18055,873,858,6491,4510,121,42655
2019-06-26,76,823,10320,17543,862,871,6259,4498,129,41381
2019-06-27,61,796,10069,17411,843,912,6094,4372,112,40670
2019-06-28,70,753,9872,17736,858,944,6388,4349,120,41090
2019-06-29,71,754,9192,17632,851,908,6366,4521,118,40413
2019-06-30,76,840,9709,18427,911,969,6637,4784,131,42484
2020-03-01,69,870,9038,16254,864,989,5980,4725,102,38891
2020-03-02,78,985,10774,18292,948,1040,6657,4926,151,43851
2020-03-03,68,896,10354,17233,833,954,6315,4656,142,41451
2020-03-04,67,862,9893,16850,870,975,6220,4589,140,40466
2020-03-05,63,884,10089,16137,870,956,5985,4526,104,39614
2020-03-06,70,888,9974,16290,840,928,6036,4638,134,39798
2020-03-07,70,753,8764,15035,826,920,5450,4289,117,36224
2020-03-08,68,773,8554,15249,836,894,5524,4254,111,36263
2020-03-09,79,908,10433,17979,891,975,6331,4659,126,42381
2020-03-10,68,841,9721,16742,942,900,5874,4430,113,39631
2020-03-11,66,872,9922,16766,995,909,5772,4412,110,39824
2020-03-12,66,743,9997,16976,1030,901,5668,4566,129,40076
2020-03-13,60,700,9026,15861,894,781,5117,4452,108,36999
2020-03-14,60,648,7772,13710,755,737,4672,3867,91,32312
2020-03-15,51,716,7538,13188,749,812,4672,3894,80,31700
2020-03-16,46,660,8156,13753,781,757,4815,3843,97,32908
2020-03-17,40,608,7445,12671,748,623,4311,3420,89,29955
2020-03-18,48,584,6920,11986,634,595,4077,3292,98,28234
2020-03-19,45,512,6423,11336,643,557,3820,2998,69,26403
2020-03-20,37,534,6195,11098,662,526,3853,2962,63,25930
2020-03-21,43,505,5726,9940,632,571,3655,2612,72,23756
2020-03-22,44,485,5416,9228,608,514,3486,2464,46,22291
2020-03-23,43,512,6197,10297,663,476,3663,2454,54,24359
2020-03-24,38,414,5539,9521,599,519,3353,2394,47,22424
2020-03-25,39,493,5273,9550,579,463,3323,2482,59,22261
2020-03-26,34,417,5251,9374,657,477,3212,2390,68,21880
2020-03-27,43,442,5417,9070,578,471,3300,2378,49,21748
2020-03-28,39,440,5005,8508,559,497,3228,2316,53,20645
2020-03-29,42,419,4689,8015,500,459,3125,2348,33,19630
2020-03-30,40,445,5408,8947,578,513,3259,2447,58,21695
2020-03-31,23,424,5136,8232,537,471,2988,2298,53,20162
2020-04-01,34,459,5048,8329,517,446,2955,2186,50,20024
2020-04-02,23,423,4967,8140,434,459,2916,2267,50,19679
2020-04-03,42,473,5147,7973,411,469,3003,2232,45,19795
2020-04-04,22,381,4735,7474,397,444,2986,2208,55,18702
2020-04-05,29,385,4627,7467,433,503,2911,2205,43,18603
